name,organism,gene_accession,pathogen,clinical_relevance,priority,card_drug_classes,card_resistance_mechanisms,card_gene_families,card_aro_ids,card_variant_count,card_family,gene_family
mecA,Staphylococcus aureus,NG_047945.1,MRSA,Resistencia a meticilina - principal HAI em UTIs brasileiras,P1,penicillin beta-lactam,antibiotic target replacement,methicillin resistant PBP2,3000617,1,mecA,
mecA1,Multiple,NG_047950.1,METHICILLIN,PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA1,P1-var,penicillin beta-lactam,antibiotic target replacement,methicillin resistant PBP2,3000617,1,mecA,mecA1
mecA2,Multiple,NG_047952.1,METHICILLIN,PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA2,P1-var,penicillin beta-lactam,antibiotic target replacement,methicillin resistant PBP2,3000617,1,mecA,mecA2
blaKPC,Klebsiella pneumoniae,NG_049243.1,CRE,Carbapenemase KPC - 77% A. baumannii resistente em UTIs BR,P1,carbapenem; cephalosporin; monobactam; penicillin beta-lactam,antibiotic inactivation,KPC beta-lactamase,3002312; 3002313; 3002314; 3002315; 3002316; 3002317; 3002318; 3002319; 3002320; 3002321; 3002322; 3002323; 3002324; 3002325; 3002326; 3002327; 3002328; 3002329; 3003145; 3003180; 3004496; 3005356; 3005357; 3005358; 3005359; 3005360; 3005361; 3005362; 3005363; 3005364; 3005365; 3005366; 3005367; 3005368; 3005369; 3005370; 3005371; 3005372; 3005373; 3005374; 3005375; 3005376; 3005377; 3005378; 3005379; 3005380; 3005381; 3005382; 3005383; 3005384; 3005385; 3006186; 3006187; 3006188; 3006189; 3006190; 3006191; 3006192; 3006193; 3006194; 3006195; 3006196; 3006197; 3006198; 3006199; 3006200; 3006201; 3006202; 3006203; 3006204; 3006205; 3006206; 3006207; 3007087; 3007089; 3007102; 3007196; 3007375; 3007381; 3007383; 3007402; 3007436; 3007446; 3007449; 3007450; 3007452; 3007633; 3007844; 3007857; 3008231; 3008232; 3008233; 3008234; 3008235; 3008236; 3008237; 3008238; 3008239; 3008240; 3008241; 3008242; 3008243; 3008244; 3008245; 3008246; 3008247; 3008248; 3008249; 3008250; 3008251; 3008252; 3008253; 3008254; 3008255; 3008256; 3008257; 3008258; 3008259; 3008260; 3008261; 3008262; 3008263; 3008264; 3008265; 3008266; 3008267; 3008268; 3008269; 3008270; 3008271; 3008272; 3008273; 3008274; 3008275; 3008276; 3008277; 3008278; 3008279; 3008280; 3008281; 3008282; 3008283; 3008284; 3008285; 3008286; 3008287; 3008288; 3008289; 3008290; 3008291; 3008292; 3008293; 3008294; 3008295; 3008296; 3008297; 3008298; 3008299; 3008300; 3008301; 3008302; 3008303; 3008304; 3008305; 3008306; 3008307; 3008308; 3008309; 3008310; 3008311; 3008312; 3008313; 3008314; 3008315; 3008316; 3008317; 3008318; 3008319; 3008320; 3008321; 3008322; 3008323; 3008324; 3008325; 3008326; 3008327; 3008328; 3008329; 3008330; 3008331; 3008332; 3008333; 3008334; 3008335; 3008336; 3008337; 3008338; 3008339; 3008340; 3008341; 3008342; 3008343; 3008344; 3008345; 3008346; 3008347; 3008348; 3008349; 3008350; 3008351; 3008352; 3008353; 3008354; 3008355; 3008356; 3008357; 3008358; 3008359; 3008360; 3008361; 3008362; 3008363; 3008364; 3008365; 3008366; 3008367; 3008368; 3008369; 3008370; 3008371,230,blaKPC,
blaKPC-2,Multiple,NG_049253.1,CARBAPENEM,carbapenem-hydrolyzing class A beta-lactamase KPC-2,P1-var,carbapenem; cephalosporin; monobactam; penicillin beta-lactam,antibiotic inactivation,KPC beta-lactamase,3002312; 3002313; 3002314; 3002315; 3002316; 3002317; 3002318; 3002319; 3002320; 3002321; 3002322; 3002323; 3002324; 3002325; 3002326; 3002327; 3002328; 3002329; 3003145; 3003180; 3004496; 3005356; 3005357; 3005358; 3005359; 3005360; 3005361; 3005362; 3005363; 3005364; 3005365; 3005366; 3005367; 3005368; 3005369; 3005370; 3005371; 3005372; 3005373; 3005374; 3005375; 3005376; 3005377; 3005378; 3005379; 3005380; 3005381; 3005382; 3005383; 3005384; 3005385; 3006186; 3006187; 3006188; 3006189; 3006190; 3006191; 3006192; 3006193; 3006194; 3006195; 3006196; 3006197; 3006198; 3006199; 3006200; 3006201; 3006202; 3006203; 3006204; 3006205; 3006206; 3006207; 3007087; 3007089; 3007102; 3007196; 3007375; 3007381; 3007383; 3007402; 3007436; 3007446; 3007449; 3007450; 3007452; 3007633; 3007844; 3007857; 3008231; 3008232; 3008233; 3008234; 3008235; 3008236; 3008237; 3008238; 3008239; 3008240; 3008241; 3008242; 3008243; 3008244; 3008245; 3008246; 3008247; 3008248; 3008249; 3008250; 3008251; 3008252; 3008253; 3008254; 3008255; 3008256; 3008257; 3008258; 3008259; 3008260; 3008261; 3008262; 3008263; 3008264; 3008265; 3008266; 3008267; 3008268; 3008269; 3008270; 3008271; 3008272; 3008273; 3008274; 3008275; 3008276; 3008277; 3008278; 3008279; 3008280; 3008281; 3008282; 3008283; 3008284; 3008285; 3008286; 3008287; 3008288; 3008289; 3008290; 3008291; 3008292; 3008293; 3008294; 3008295; 3008296; 3008297; 3008298; 3008299; 3008300; 3008301; 3008302; 3008303; 3008304; 3008305; 3008306; 3008307; 3008308; 3008309; 3008310; 3008311; 3008312; 3008313; 3008314; 3008315; 3008316; 3008317; 3008318; 3008319; 3008320; 3008321; 3008322; 3008323; 3008324; 3008325; 3008326; 3008327; 3008328; 3008329; 3008330; 3008331; 3008332; 3008333; 3008334; 3008335; 3008336; 3008337; 3008338; 3008339; 3008340; 3008341; 3008342; 3008343; 3008344; 3008345; 3008346; 3008347; 3008348; 3008349; 3008350; 3008351; 3008352; 3008353; 3008354; 3008355; 3008356; 3008357; 3008358; 3008359; 3008360; 3008361; 3008362; 3008363; 3008364; 3008365; 3008366; 3008367; 3008368; 3008369; 3008370; 3008371,230,blaKPC,blaKPC
blaKPC-3,Multiple,NG_049257.1,CARBAPENEM,carbapenem-hydrolyzing class A beta-lactamase KPC-3,P1-var,carbapenem; cephalosporin; monobactam; penicillin beta-lactam,antibiotic inactivation,KPC beta-lactamase,3002312; 3002313; 3002314; 3002315; 3002316; 3002317; 3002318; 3002319; 3002320; 3002321; 3002322; 3002323; 3002324; 3002325; 3002326; 3002327; 3002328; 3002329; 3003145; 3003180; 3004496; 3005356; 3005357; 3005358; 3005359; 3005360; 3005361; 3005362; 3005363; 3005364; 3005365; 3005366; 3005367; 3005368; 3005369; 3005370; 3005371; 3005372; 3005373; 3005374; 3005375; 3005376; 3005377; 3005378; 3005379; 3005380; 3005381; 3005382; 3005383; 3005384; 3005385; 3006186; 3006187; 3006188; 3006189; 3006190; 3006191; 3006192; 3006193; 3006194; 3006195; 3006196; 3006197; 3006198; 3006199; 3006200; 3006201; 3006202; 3006203; 3006204; 3006205; 3006206; 3006207; 3007087; 3007089; 3007102; 3007196; 3007375; 3007381; 3007383; 3007402; 3007436; 3007446; 3007449; 3007450; 3007452; 3007633; 3007844; 3007857; 3008231; 3008232; 3008233; 3008234; 3008235; 3008236; 3008237; 3008238; 3008239; 3008240; 3008241; 3008242; 3008243; 3008244; 3008245; 3008246; 3008247; 3008248; 3008249; 3008250; 3008251; 3008252; 3008253; 3008254; 3008255; 3008256; 3008257; 3008258; 3008259; 3008260; 3008261; 3008262; 3008263; 3008264; 3008265; 3008266; 3008267; 3008268; 3008269; 3008270; 3008271; 3008272; 3008273; 3008274; 3008275; 3008276; 3008277; 3008278; 3008279; 3008280; 3008281; 3008282; 3008283; 3008284; 3008285; 3008286; 3008287; 3008288; 3008289; 3008290; 3008291; 3008292; 3008293; 3008294; 3008295; 3008296; 3008297; 3008298; 3008299; 3008300; 3008301; 3008302; 3008303; 3008304; 3008305; 3008306; 3008307; 3008308; 3008309; 3008310; 3008311; 3008312; 3008313; 3008314; 3008315; 3008316; 3008317; 3008318; 3008319; 3008320; 3008321; 3008322; 3008323; 3008324; 3008325; 3008326; 3008327; 3008328; 3008329; 3008330; 3008331; 3008332; 3008333; 3008334; 3008335; 3008336; 3008337; 3008338; 3008339; 3008340; 3008341; 3008342; 3008343; 3008344; 3008345; 3008346; 3008347; 3008348; 3008349; 3008350; 3008351; 3008352; 3008353; 3008354; 3008355; 3008356; 3008357; 3008358; 3008359; 3008360; 3008361; 3008362; 3008363; 3008364; 3008365; 3008366; 3008367; 3008368; 3008369; 3008370; 3008371,230,blaKPC,blaKPC
blaKPC-4,Multiple,NG_049258.1,CARBAPENEM,carbapenem-hydrolyzing class A beta-lactamase KPC-4,P2-var,carbapenem; cephalosporin; monobactam; penicillin beta-lactam,antibiotic inactivation,KPC beta-lactamase,3002312; 3002313; 3002314; 3002315; 3002316; 3002317; 3002318; 3002319; 3002320; 3002321; 3002322; 3002323; 3002324; 3002325; 3002326; 3002327; 3002328; 3002329; 3003145; 3003180; 3004496; 3005356; 3005357; 3005358; 3005359; 3005360; 3005361; 3005362; 3005363; 3005364; 3005365; 3005366; 3005367; 3005368; 3005369; 3005370; 3005371; 3005372; 3005373; 3005374; 3005375; 3005376; 3005377; 3005378; 3005379; 3005380; 3005381; 3005382; 3005383; 3005384; 3005385; 3006186; 3006187; 3006188; 3006189; 3006190; 3006191; 3006192; 3006193; 3006194; 3006195; 3006196; 3006197; 3006198; 3006199; 3006200; 3006201; 3006202; 3006203; 3006204; 3006205; 3006206; 3006207; 3007087; 3007089; 3007102; 3007196; 3007375; 3007381; 3007383; 3007402; 3007436; 3007446; 3007449; 3007450; 3007452; 3007633; 3007844; 3007857; 3008231; 3008232; 3008233; 3008234; 3008235; 3008236; 3008237; 3008238; 3008239; 3008240; 3008241; 3008242; 3008243; 3008244; 3008245; 3008246; 3008247; 3008248; 3008249; 3008250; 3008251; 3008252; 3008253; 3008254; 3008255; 3008256; 3008257; 3008258; 3008259; 3008260; 3008261; 3008262; 3008263; 3008264; 3008265; 3008266; 3008267; 3008268; 3008269; 3008270; 3008271; 3008272; 3008273; 3008274; 3008275; 3008276; 3008277; 3008278; 3008279; 3008280; 3008281; 3008282; 3008283; 3008284; 3008285; 3008286; 3008287; 3008288; 3008289; 3008290; 3008291; 3008292; 3008293; 3008294; 3008295; 3008296; 3008297; 3008298; 3008299; 3008300; 3008301; 3008302; 3008303; 3008304; 3008305; 3008306; 3008307; 3008308; 3008309; 3008310; 3008311; 3008312; 3008313; 3008314; 3008315; 3008316; 3008317; 3008318; 3008319; 3008320; 3008321; 3008322; 3008323; 3008324; 3008325; 3008326; 3008327; 3008328; 3008329; 3008330; 3008331; 3008332; 3008333; 3008334; 3008335; 3008336; 3008337; 3008338; 3008339; 3008340; 3008341; 3008342; 3008343; 3008344; 3008345; 3008346; 3008347; 3008348; 3008349; 3008350; 3008351; 3008352; 3008353; 3008354; 3008355; 3008356; 3008357; 3008358; 3008359; 3008360; 3008361; 3008362; 3008363; 3008364; 3008365; 3008366; 3008367; 3008368; 3008369; 3008370; 3008371,230,blaKPC,blaKPC
blaKPC-5,Multiple,NG_049259.1,CARBAPENEM,carbapenem-hydrolyzing class A beta-lactamase KPC-5,P2-var,carbapenem; cephalosporin; monobactam; penicillin beta-lactam,antibiotic inactivation,KPC beta-lactamase,3002312; 3002313; 3002314; 3002315; 3002316; 3002317; 3002318; 3002319; 3002320; 3002321; 3002322; 3002323; 3002324; 3002325; 3002326; 3002327; 3002328; 3002329; 3003145; 3003180; 3004496; 3005356; 3005357; 3005358; 3005359; 3005360; 3005361; 3005362; 3005363; 3005364; 3005365; 3005366; 3005367; 3005368; 3005369; 3005370; 3005371; 3005372; 3005373; 3005374; 3005375; 3005376; 3005377; 3005378; 3005379; 3005380; 3005381; 3005382; 3005383; 3005384; 3005385; 3006186; 3006187; 3006188; 3006189; 3006190; 3006191; 3006192; 3006193; 3006194; 3006195; 3006196; 3006197; 3006198; 3006199; 3006200; 3006201; 3006202; 3006203; 3006204; 3006205; 3006206; 3006207; 3007087; 3007089; 3007102; 3007196; 3007375; 3007381; 3007383; 3007402; 3007436; 3007446; 3007449; 3007450; 3007452; 3007633; 3007844; 3007857; 3008231; 3008232; 3008233; 3008234; 3008235; 3008236; 3008237; 3008238; 3008239; 3008240; 3008241; 3008242; 3008243; 3008244; 3008245; 3008246; 3008247; 3008248; 3008249; 3008250; 3008251; 3008252; 3008253; 3008254; 3008255; 3008256; 3008257; 3008258; 3008259; 3008260; 3008261; 3008262; 3008263; 3008264; 3008265; 3008266; 3008267; 3008268; 3008269; 3008270; 3008271; 3008272; 3008273; 3008274; 3008275; 3008276; 3008277; 3008278; 3008279; 3008280; 3008281; 3008282; 3008283; 3008284; 3008285; 3008286; 3008287; 3008288; 3008289; 3008290; 3008291; 3008292; 3008293; 3008294; 3008295; 3008296; 3008297; 3008298; 3008299; 3008300; 3008301; 3008302; 3008303; 3008304; 3008305; 3008306; 3008307; 3008308; 3008309; 3008310; 3008311; 3008312; 3008313; 3008314; 3008315; 3008316; 3008317; 3008318; 3008319; 3008320; 3008321; 3008322; 3008323; 3008324; 3008325; 3008326; 3008327; 3008328; 3008329; 3008330; 3008331; 3008332; 3008333; 3008334; 3008335; 3008336; 3008337; 3008338; 3008339; 3008340; 3008341; 3008342; 3008343; 3008344; 3008345; 3008346; 3008347; 3008348; 3008349; 3008350; 3008351; 3008352; 3008353; 3008354; 3008355; 3008356; 3008357; 3008358; 3008359; 3008360; 3008361; 3008362; 3008363; 3008364; 3008365; 3008366; 3008367; 3008368; 3008369; 3008370; 3008371,230,blaKPC,blaKPC
blaKPC-11,Multiple,NG_049244.1,CARBAPENEM,carbapenem-hydrolyzing class A beta-lactamase KPC-11,P2-var,carbapenem; cephalosporin; monobactam; penicillin beta-lactam,antibiotic inactivation,KPC beta-lactamase,3002312; 3002313; 3002314; 3002315; 3002316; 3002317; 3002318; 3002319; 3002320; 3002321; 3002322; 3002323; 3002324; 3002325; 3002326; 3002327; 3002328; 3002329; 3003145; 3003180; 3004496; 3005356; 3005357; 3005358; 3005359; 3005360; 3005361; 3005362; 3005363; 3005364; 3005365; 3005366; 3005367; 3005368; 3005369; 3005370; 3005371; 3005372; 3005373; 3005374; 3005375; 3005376; 3005377; 3005378; 3005379; 3005380; 3005381; 3005382; 3005383; 3005384; 3005385; 3006186; 3006187; 3006188; 3006189; 3006190; 3006191; 3006192; 3006193; 3006194; 3006195; 3006196; 3006197; 3006198; 3006199; 3006200; 3006201; 3006202; 3006203; 3006204; 3006205; 3006206; 3006207; 3007087; 3007089; 3007102; 3007196; 3007375; 3007381; 3007383; 3007402; 3007436; 3007446; 3007449; 3007450; 3007452; 3007633; 3007844; 3007857; 3008231; 3008232; 3008233; 3008234; 3008235; 3008236; 3008237; 3008238; 3008239; 3008240; 3008241; 3008242; 3008243; 3008244; 3008245; 3008246; 3008247; 3008248; 3008249; 3008250; 3008251; 3008252; 3008253; 3008254; 3008255; 3008256; 3008257; 3008258; 3008259; 3008260; 3008261; 3008262; 3008263; 3008264; 3008265; 3008266; 3008267; 3008268; 3008269; 3008270; 3008271; 3008272; 3008273; 3008274; 3008275; 3008276; 3008277; 3008278; 3008279; 3008280; 3008281; 3008282; 3008283; 3008284; 3008285; 3008286; 3008287; 3008288; 3008289; 3008290; 3008291; 3008292; 3008293; 3008294; 3008295; 3008296; 3008297; 3008298; 3008299; 3008300; 3008301; 3008302; 3008303; 3008304; 3008305; 3008306; 3008307; 3008308; 3008309; 3008310; 3008311; 3008312; 3008313; 3008314; 3008315; 3008316; 3008317; 3008318; 3008319; 3008320; 3008321; 3008322; 3008323; 3008324; 3008325; 3008326; 3008327; 3008328; 3008329; 3008330; 3008331; 3008332; 3008333; 3008334; 3008335; 3008336; 3008337; 3008338; 3008339; 3008340; 3008341; 3008342; 3008343; 3008344; 3008345; 3008346; 3008347; 3008348; 3008349; 3008350; 3008351; 3008352; 3008353; 3008354; 3008355; 3008356; 3008357; 3008358; 3008359; 3008360; 3008361; 3008362; 3008363; 3008364; 3008365; 3008366; 3008367; 3008368; 3008369; 3008370; 3008371,230,blaKPC,blaKPC
blaKPC-30,Multiple,NG_054685.1,CARBAPENEM,inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-30,P1-var,carbapenem; cephalosporin; monobactam; penicillin beta-lactam,antibiotic inactivation,KPC beta-lactamase,3002312; 3002313; 3002314; 3002315; 3002316; 3002317; 3002318; 3002319; 3002320; 3002321; 3002322; 3002323; 3002324; 3002325; 3002326; 3002327; 3002328; 3002329; 3003145; 3003180; 3004496; 3005356; 3005357; 3005358; 3005359; 3005360; 3005361; 3005362; 3005363; 3005364; 3005365; 3005366; 3005367; 3005368; 3005369; 3005370; 3005371; 3005372; 3005373; 3005374; 3005375; 3005376; 3005377; 3005378; 3005379; 3005380; 3005381; 3005382; 3005383; 3005384; 3005385; 3006186; 3006187; 3006188; 3006189; 3006190; 3006191; 3006192; 3006193; 3006194; 3006195; 3006196; 3006197; 3006198; 3006199; 3006200; 3006201; 3006202; 3006203; 3006204; 3006205; 3006206; 3006207; 3007087; 3007089; 3007102; 3007196; 3007375; 3007381; 3007383; 3007402; 3007436; 3007446; 3007449; 3007450; 3007452; 3007633; 3007844; 3007857; 3008231; 3008232; 3008233; 3008234; 3008235; 3008236; 3008237; 3008238; 3008239; 3008240; 3008241; 3008242; 3008243; 3008244; 3008245; 3008246; 3008247; 3008248; 3008249; 3008250; 3008251; 3008252; 3008253; 3008254; 3008255; 3008256; 3008257; 3008258; 3008259; 3008260; 3008261; 3008262; 3008263; 3008264; 3008265; 3008266; 3008267; 3008268; 3008269; 3008270; 3008271; 3008272; 3008273; 3008274; 3008275; 3008276; 3008277; 3008278; 3008279; 3008280; 3008281; 3008282; 3008283; 3008284; 3008285; 3008286; 3008287; 3008288; 3008289; 3008290; 3008291; 3008292; 3008293; 3008294; 3008295; 3008296; 3008297; 3008298; 3008299; 3008300; 3008301; 3008302; 3008303; 3008304; 3008305; 3008306; 3008307; 3008308; 3008309; 3008310; 3008311; 3008312; 3008313; 3008314; 3008315; 3008316; 3008317; 3008318; 3008319; 3008320; 3008321; 3008322; 3008323; 3008324; 3008325; 3008326; 3008327; 3008328; 3008329; 3008330; 3008331; 3008332; 3008333; 3008334; 3008335; 3008336; 3008337; 3008338; 3008339; 3008340; 3008341; 3008342; 3008343; 3008344; 3008345; 3008346; 3008347; 3008348; 3008349; 3008350; 3008351; 3008352; 3008353; 3008354; 3008355; 3008356; 3008357; 3008358; 3008359; 3008360; 3008361; 3008362; 3008363; 3008364; 3008365; 3008366; 3008367; 3008368; 3008369; 3008370; 3008371,230,blaKPC,blaKPC
