family,variant,title,accession,length,brazil_filter,recent_filter
mecA,,"Listeria monocytogenes strain PNUSAL026199, whole genome shotgun sequencing project",ACCYWX000000000.1,38,False,False
mecA,,"Listeria monocytogenes strain PNUSAL026200, whole genome shotgun sequencing project",ACCYWN000000000.1,13,False,False
mecA,,"Listeria monocytogenes strain PNUSAL026201, whole genome shotgun sequencing project",ACCYWU000000000.1,13,False,False
mecA,,"Listeria monocytogenes strain 01939291, whole genome shotgun sequencing project",ACCYVB000000000.1,33,False,False
mecA,,"Listeria monocytogenes strain 01939142, whole genome shotgun sequencing project",ACCYVD000000000.1,36,False,False
mecA,,"Listeria monocytogenes strain 01939143, whole genome shotgun sequencing project",ACCYUX000000000.1,43,False,False
mecA,,"Listeria monocytogenes strain 01939141, whole genome shotgun sequencing project",ACCYUK000000000.1,27,False,False
mecA,,"Bacillus subtilis strain LTH 7164 chromosome, complete genome",CP160208.1,4326831,False,False
mecA,,"Listeria monocytogenes strain PNUSAL026198, whole genome shotgun sequencing project",ACCYQO000000000.1,23,False,False
mecA,,"Listeria monocytogenes strain PNUSAL026197, whole genome shotgun sequencing project",ACCYQP000000000.1,14,False,False
mecA,,"Streptococcus pyogenes isolate 2026DU-00094, whole genome shotgun sequencing project",ACCYOF000000000.1,13,False,False
mecA,,"Streptococcus pyogenes isolate 2026DU-00097, whole genome shotgun sequencing project",ACCYOH000000000.1,20,False,False
mecA,,"Streptococcus pyogenes isolate 2026DU-00095, whole genome shotgun sequencing project",ACCYOG000000000.1,20,False,False
mecA,,"Streptococcus pyogenes isolate 2026DU-00086, whole genome shotgun sequencing project",ACCYNW000000000.1,23,False,False
mecA,,"Streptococcus pyogenes isolate 2026DU-00084, whole genome shotgun sequencing project",ACCYNT000000000.1,23,False,False
mecA,,"Streptococcus pyogenes isolate 2026DU-00091, whole genome shotgun sequencing project",ACCYOA000000000.1,19,False,False
mecA,,"Streptococcus pyogenes isolate 2026DU-00090, whole genome shotgun sequencing project",ACCYNZ000000000.1,24,False,False
mecA,,"Streptococcus pyogenes isolate 2026DU-00089, whole genome shotgun sequencing project",ACCYNY000000000.1,20,False,False
mecA,,"Streptococcus pyogenes isolate 2026DU-00085, whole genome shotgun sequencing project",ACCYNV000000000.1,21,False,False
mecA,,"Streptococcus pyogenes isolate 2026DU-00087, whole genome shotgun sequencing project",ACCYNX000000000.1,19,False,False
mecA,,"Streptococcus pyogenes isolate 2026DU-00096, whole genome shotgun sequencing project",ACCYOD000000000.1,34,False,False
mecA,,"Streptococcus pyogenes isolate 2026DU-00088, whole genome shotgun sequencing project",ACCYOE000000000.1,23,False,False
mecA,,"Streptococcus pyogenes isolate 2026DU-00092, whole genome shotgun sequencing project",ACCYOC000000000.1,21,False,False
mecA,,"Streptococcus pyogenes isolate 2026DU-00093, whole genome shotgun sequencing project",ACCYOB000000000.1,20,False,False
mecA,,"Listeria monocytogenes strain PNUSAL026195, whole genome shotgun sequencing project",ACCYNK000000000.1,20,False,False
mecA,,"Listeria monocytogenes strain PNUSAL026196, whole genome shotgun sequencing project",ACCYNI000000000.1,21,False,False
mecA,,"Listeria monocytogenes strain PNUSAL026193, whole genome shotgun sequencing project",ACCYMC000000000.1,18,False,False
mecA,,"Listeria monocytogenes strain PNUSAL026194, whole genome shotgun sequencing project",ACCYLK000000000.1,18,False,False
mecA,,"Listeria monocytogenes strain PNUSAL026192, whole genome shotgun sequencing project",ACCYJP000000000.1,20,False,False
mecA,,"TPA_asm: Streptococcus pneumoniae strain uvzsr-PT_26_00018-H12-AR_25_00001750, whole genome shotgun sequencing project",DBNFOP000000000.1,237,False,False
mecA,,"Listeria monocytogenes strain 01936189, whole genome shotgun sequencing project",ACCYFH000000000.1,36,False,False
mecA,,"Listeria monocytogenes strain 01935561, whole genome shotgun sequencing project",ACCYFJ000000000.1,35,False,False
mecA,,"Listeria monocytogenes strain 01935563, whole genome shotgun sequencing project",ACCYFC000000000.1,39,False,False
mecA,,"Listeria monocytogenes strain 01935562, whole genome shotgun sequencing project",ACCYFA000000000.1,21,False,False
mecA,,"Listeria monocytogenes strain 01936190, whole genome shotgun sequencing project",ACCYEY000000000.1,33,False,False
mecA,,"TPA_asm: Streptococcus pyogenes isolate GAS, whole genome shotgun sequencing project",DBNFND000000000.1,43,False,False
mecA,,"TPA_asm: Streptococcus pneumoniae isolate SPN, whole genome shotgun sequencing project",DBNFNC000000000.1,24,False,False
mecA,,"TPA_asm: Streptococcus pyogenes isolate GAS, whole genome shotgun sequencing project",DBNFNE000000000.1,24,False,False
mecA,,"TPA_asm: Streptococcus pyogenes isolate GAS, whole genome shotgun sequencing project",DBNFNB000000000.1,25,False,False
mecA,,"TPA_asm: Streptococcus pyogenes isolate GAS, whole genome shotgun sequencing project",DBNFMS000000000.1,21,False,False
mecA,,"TPA_asm: Streptococcus pyogenes isolate GAS, whole genome shotgun sequencing project",DBNFMZ000000000.1,36,False,False
mecA,,"TPA_asm: Streptococcus pneumoniae isolate SPN, whole genome shotgun sequencing project",DBNFMU000000000.1,23,False,False
mecA,,"TPA_asm: Streptococcus pyogenes isolate GAS, whole genome shotgun sequencing project",DBNFMY000000000.1,15,False,False
mecA,,"TPA_asm: Streptococcus pyogenes isolate GAS, whole genome shotgun sequencing project",DBNFNA000000000.1,13,False,False
mecA,,"TPA_asm: Streptococcus pyogenes isolate GAS, whole genome shotgun sequencing project",DBNFMT000000000.1,23,False,False
mecA,,"TPA_asm: Streptococcus pyogenes isolate GAS, whole genome shotgun sequencing project",DBNFMV000000000.1,21,False,False
mecA,,"TPA_asm: Streptococcus pyogenes isolate GAS, whole genome shotgun sequencing project",DBNFMW000000000.1,17,False,False
mecA,,"TPA_asm: Streptococcus pyogenes isolate GAS, whole genome shotgun sequencing project",DBNFMX000000000.1,38,False,False
mecA,,"TPA_asm: Streptococcus pyogenes isolate GAS, whole genome shotgun sequencing project",DBNFMN000000000.1,17,False,False
mecA,,"TPA_asm: Streptococcus pneumoniae isolate SPN, whole genome shotgun sequencing project",DBNFMK000000000.1,29,False,False
mecA,,"Listeria monocytogenes strain PNUSAL026199, whole genome shotgun sequencing project",ACCYWX000000000.1,38,False,True
mecA,,"Listeria monocytogenes strain PNUSAL026200, whole genome shotgun sequencing project",ACCYWN000000000.1,13,False,True
mecA,,"Listeria monocytogenes strain PNUSAL026201, whole genome shotgun sequencing project",ACCYWU000000000.1,13,False,True
mecA,,"Listeria monocytogenes strain 01939291, whole genome shotgun sequencing project",ACCYVB000000000.1,33,False,True
mecA,,"Listeria monocytogenes strain 01939142, whole genome shotgun sequencing project",ACCYVD000000000.1,36,False,True
mecA,,"Listeria monocytogenes strain 01939143, whole genome shotgun sequencing project",ACCYUX000000000.1,43,False,True
mecA,,"Listeria monocytogenes strain 01939141, whole genome shotgun sequencing project",ACCYUK000000000.1,27,False,True
mecA,,"Bacillus subtilis strain LTH 7164 chromosome, complete genome",CP160208.1,4326831,False,True
mecA,,"Listeria monocytogenes strain PNUSAL026198, whole genome shotgun sequencing project",ACCYQO000000000.1,23,False,True
mecA,,"Listeria monocytogenes strain PNUSAL026197, whole genome shotgun sequencing project",ACCYQP000000000.1,14,False,True
mecA,,"Streptococcus pyogenes isolate 2026DU-00094, whole genome shotgun sequencing project",ACCYOF000000000.1,13,False,True
mecA,,"Streptococcus pyogenes isolate 2026DU-00097, whole genome shotgun sequencing project",ACCYOH000000000.1,20,False,True
mecA,,"Streptococcus pyogenes isolate 2026DU-00095, whole genome shotgun sequencing project",ACCYOG000000000.1,20,False,True
mecA,,"Streptococcus pyogenes isolate 2026DU-00086, whole genome shotgun sequencing project",ACCYNW000000000.1,23,False,True
mecA,,"Streptococcus pyogenes isolate 2026DU-00084, whole genome shotgun sequencing project",ACCYNT000000000.1,23,False,True
